1789	3.32	619	1.04	0.01	9.17	0.09%	0.00000000	h1_value=16 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1790	5.27	583	1.07	0.01	8.39	0.08%	0.00000000	h1_value=18 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1791	4.65	548	1.06	0.01	8.42	0.08%	0.00000000	h1_value=20 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1792	0.32	519	1.00	0.00	9.46	0.09%	0.00000000	h1_value=22 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1793	0.05	496	1.00	0.00	8.95	0.09%	0.00000000	h1_value=24 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1794	0.95	474	1.01	0.00	7.42	0.07%	0.00000000	h1_value=26 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1795	-0.48	457	0.99	-0.00	8.63	0.09%	0.00000000	h1_value=28 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1796	-1.80	442	0.97	-0.00	10.06	0.10%	0.00000000	h1_value=30 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1797	-0.63	429	0.99	-0.00	10.12	0.10%	0.00000000	h1_value=32 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1798	1.28	418	1.02	0.00	9.79	0.10%	0.00000000	h1_value=34 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1799	2.88	402	1.05	0.01	10.10	0.10%	0.00000000	h1_value=36 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1800	1.66	390	1.03	0.00	10.62	0.11%	0.00000000	h1_value=38 	h_williamsS=10 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
