28	26.86	237	1.70	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
3	26.86	237	1.70	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
56	26.35	328	1.50	0.08	9.63	0.10%	0.00000000	wrate_lookback=20 	k_delta_calc=0.2 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
19	25.32	351	1.47	0.07	12.67	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.6 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
73	25.05	294	1.51	0.09	6.71	0.07%	0.00000000	wrate_lookback=60 	k_delta_calc=0.8 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
36	25.03	332	1.46	0.08	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.4 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
11	25.03	332	1.46	0.08	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.4 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
40	24.84	362	1.45	0.07	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.4 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
22	24.82	349	1.44	0.07	12.66	0.13%	0.00000000	wrate_lookback=40 	k_delta_calc=0.8 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
124	24.58	241	1.81	0.10	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.8 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
99	24.58	241	1.81	0.10	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.8 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
74	24.58	241	1.81	0.10	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.8 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
45	24.43	332	1.48	0.07	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.6 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
47	24.38	327	1.50	0.07	7.87	0.08%	0.00000000	wrate_lookback=40 	k_delta_calc=0.8 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
86	24.05	308	1.48	0.08	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.4 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
